eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
DorsalAttnB_DefaultC,-368.40070736641326,0.4213888702723887,-0.2164674429971524,-696.8453233702569,0.13424435948065286,1.089077428753001
DorsalAttnB_TemporalParietal,64.17500497656692,0.4511900579105055,-0.1534619495370895,168.30610131570342,0.11608166734374423,1.0238210536440653
VentralAttnA_VentralAttnB,-3691.5747918262205,0.03734567054227844,0.1236777436420844,-7343.193492289872,-0.3051765798347252,0.31955514171525795
VentralAttnA_LimbicA,-2938.161159692444,0.057155625543666266,0.13474200190993924,-5836.366228022319,0.169535053390883,0.5716947128719444
VentralAttnA_LimbicB,-1955.0252293740123,0.04477346449962394,0.3767047963713331,-3870.094367385455,0.2549052588669015,1.1313813400803552
VentralAttnA_ControlA,-2119.7294368036564,0.1493054873042997,-0.05110787568754858,-4199.502782244744,0.0006106553110938475,-0.2384814149392946
VentralAttnA_ControlB,-1948.5778407932812,0.11167649260432011,0.06505520282250978,-3857.199590223993,0.022427673896621533,0.7309987939791117
VentralAttnA_ControlC,-1268.4444969207257,0.2651573094072549,-0.039968778889405754,-2496.9329024788817,0.4355287027984399,1.496185644232605
VentralAttnA_DefaultA,1203.0110364606826,0.16488295020740218,-0.05940076659610549,2445.978164283935,0.04007691533401592,0.3224449576408745
VentralAttnA_DefaultB,-43.564499573818466,0.38033716171356047,-0.21381022355768634,-47.172907785067366,-0.29530835643922737,-0.3645418595132822
VentralAttnA_DefaultC,1386.1552029557051,0.3898617533592199,-0.13535059964588037,2812.26649727398,-0.18338190762094175,1.2790378748678586
VentralAttnA_TemporalParietal,669.5050128411931,0.4342326775037001,-0.13809448422138895,1378.9661170449558,0.07857992502526315,0.8051415032650295
VentralAttnB_LimbicA,-3777.633100763786,-0.012513197170299195,-0.10117428520320874,-7515.310110165003,0.4560810859934538,1.3532002974135886
VentralAttnB_LimbicB,-1992.601870987433,-0.004425307196384898,0.006185290587579134,-3945.247650612296,0.5290667684229223,1.8327200205868972
VentralAttnB_ControlA,-3145.4446276691715,0.16379487973949258,-0.14601566009538236,-6250.933163975774,-0.4212831645013361,0.000901245604511699
VentralAttnB_ControlB,-2267.6720340259017,0.025895363491804657,-0.06394446534387582,-4495.387976689234,0.2596333115857633,0.8913065269345402
VentralAttnB_ControlC,-1075.7425434737934,0.12715000512135477,-0.03778198260748674,-2111.528995585017,0.474108624395747,1.1508839911164666
VentralAttnB_DefaultA,-666.7347602847076,0.08213480235198589,0.4993826086048216,-1293.5134292068456,0.5788871934752963,1.8378932193191622
VentralAttnB_DefaultB,-2124.5895893794004,0.4026455640256271,-0.36094305023526124,-4209.223087396232,-0.21399388920425613,-0.1180808348036515
VentralAttnB_DefaultC,581.2611706490343,0.35918492922305156,-0.20413458388549918,1202.4784326606382,0.2666273787262316,1.3609986109579766
VentralAttnB_TemporalParietal,-343.7063013811203,0.3611973522959301,0.025876969167637043,-647.456511399671,0.12433215986680547,1.1773228512859373
LimbicA_LimbicB,-3624.8549188416882,-0.0763385548927662,-0.33854774028953627,-7209.753746320807,0.2724299969576522,0.12122032865929155
