participant_id,age,sex,site
sub-NDARINV0PRHUTZA,10.75,1,site16
sub-NDARINV0PU19T4K,10.16666667,0,site10
sub-NDARINV0PW5A9P1,9.25,1,site10
sub-NDARINV0R5220TJ,9.75,0,site06
sub-NDARINV0R696YJR,9.0,1,site01
sub-NDARINV0RA4PBPV,9.5,1,site10
sub-NDARINV0RB5CTN0,10.66666667,0,site07
sub-NDARINV0RG4KBRB,9.75,1,site20
sub-NDARINV0RHDH1EL,9.333333333,1,site08
sub-NDARINV0RHLKA9M,10.75,0,site03
sub-NDARINV0RKF6F11,9.75,1,site19
sub-NDARINV0RL1BGTN,9.75,0,site07
sub-NDARINV0T41MTFH,9.083333333,0,site13
sub-NDARINV0T5DCF9K,10.41666667,1,site17
sub-NDARINV0T7889MV,10.0,1,site03
sub-NDARINV0TEH16CM,9.583333333,1,site15
sub-NDARINV0TJZ2RA3,9.083333333,0,site13
sub-NDARINV0TRD5ZK4,10.08333333,0,site21
sub-NDARINV0U0ZAG3B,10.25,1,site19
sub-NDARINV0U1JRFPK,9.083333333,1,site12
sub-NDARINV0U23M45G,9.5,1,site02
sub-NDARINV0U317B9P,10.0,1,site14
sub-NDARINV0U8DTCDG,9.166666667,1,site18
sub-NDARINV0UA196B6,9.25,0,site13
sub-NDARINV0UD3BJFR,10.16666667,1,site17
sub-NDARINV0UEA3Z9E,9.25,0,site13
sub-NDARINV0UERLJJY,9.583333333,0,site03
sub-NDARINV0UL9YFZJ,10.16666667,0,site04
sub-NDARINV0ULZKXXG,9.583333333,1,site05
sub-NDARINV0UMM15GY,10.91666667,1,site02
sub-NDARINV0UPRUMA1,9.083333333,0,site04
sub-NDARINV0UPVEC1J,10.08333333,0,site19
sub-NDARINV0UV5WZUN,10.08333333,1,site15
sub-NDARINV0UWD26VV,9.166666667,0,site04
sub-NDARINV0UYDV4HJ,10.91666667,0,site06
sub-NDARINV0V139J8T,9.083333333,0,site06
sub-NDARINV0V1TNU11,10.75,1,site12
sub-NDARINV0V1TYBKE,10.25,1,site16
sub-NDARINV0V80916L,10.5,1,site04
sub-NDARINV0VBJ9TP2,10.41666667,1,site11
sub-NDARINV0VF0JVNL,10.33333333,1,site10
sub-NDARINV0VJZ6NZY,10.08333333,1,site02
sub-NDARINV0VL8XV09,9.25,0,site14
sub-NDARINV0VVG7LYB,9.083333333,0,site16
sub-NDARINV0VXEC29A,10.41666667,0,site19
sub-NDARINV0VY70352,10.83333333,0,site02
sub-NDARINV0W00RU2X,10.66666667,1,site03
sub-NDARINV0W4PR2WT,10.91666667,0,site18
sub-NDARINV0W4WA8RV,10.91666667,0,site03
sub-NDARINV0WAF57A4,10.58333333,0,site13
sub-NDARINV0WC5U4JA,9.916666667,0,site20
sub-NDARINV0WELU60J,9.0,0,site11
sub-NDARINV0WHFCZKU,10.0,0,site12
sub-NDARINV0WTM31V7,10.5,1,site02
sub-NDARINV0WYCV590,10.83333333,0,site18
sub-NDARINV0X02CUCY,10.25,1,site11
sub-NDARINV0X38WL5R,10.75,0,site03
sub-NDARINV0X45NBYM,10.66666667,1,site06
sub-NDARINV0X4A2LKW,9.083333333,0,site13
sub-NDARINV0X59EG8X,9.25,1,site04
sub-NDARINV0XDBADBW,10.91666667,0,site13
sub-NDARINV0XFVW4LF,10.91666667,1,site08
sub-NDARINV0XH07MZ8,10.16666667,1,site09
sub-NDARINV0XKVPBB0,9.0,0,site12
sub-NDARINV0XM20K74,10.83333333,1,site13
sub-NDARINV0XTAYD1B,10.58333333,1,site03
sub-NDARINV0XU7Z6RH,9.666666667,0,site13
sub-NDARINV0XVGNCYR,9.75,0,site08
sub-NDARINV0Y2153YG,10.08333333,0,site09
sub-NDARINV0Y712XLV,9.916666667,1,site14
sub-NDARINV0Y8YJ2UR,9.75,1,site14
sub-NDARINV0Y9F2PL1,9.666666667,1,site07
sub-NDARINV0Y9GR364,9.5,0,site04
sub-NDARINV0YDL0DWV,9.5,0,site03
sub-NDARINV0YE7L9KU,10.25,1,site06
sub-NDARINV0YGRZTUF,9.5,1,site19
sub-NDARINV0YLE20YZ,9.5,0,site08
sub-NDARINV0YLJKU2J,10.75,1,site01
sub-NDARINV0YLLNXRL,9.083333333,1,site16
sub-NDARINV0YMH4BW6,10.16666667,1,site09
sub-NDARINV0YVKYMJX,9.0,1,site13
sub-NDARINV0YWBYAGP,10.25,1,site08
sub-NDARINV0Z5FF0JL,10.08333333,0,site08
sub-NDARINV0ZAYELPK,10.41666667,0,site06
sub-NDARINV0ZHHWCMZ,9.5,1,site12
sub-NDARINV0ZPPK2ML,9.083333333,0,site12
sub-NDARINV0ZTJ2432,10.25,1,site03
sub-NDARINV101HGWPC,10.08333333,1,site07
sub-NDARINV102P9DCN,10.25,0,site21
sub-NDARINV107UCJ69,10.66666667,0,site01
sub-NDARINV109GUWFN,9.25,1,site09
sub-NDARINV10DN9UHY,10.91666667,1,site05
sub-NDARINV10EP1VM2,10.91666667,1,site02
sub-NDARINV10F7NTCV,9.666666667,1,site17
sub-NDARINV10FDVE0L,9.833333333,0,site14
sub-NDARINV10HWA6YU,9.666666667,1,site16
sub-NDARINV10J5M8LB,10.5,0,site20
sub-NDARINV10K9CVX2,9.333333333,1,site16
sub-NDARINV10KHJFTG,10.58333333,1,site20
sub-NDARINV10KWCWVG,9.25,1,site18
sub-NDARINV10KXDDBK,9.416666667,1,site21
sub-NDARINV10MWD99M,10.66666667,0,site10
sub-NDARINV10RNF3BK,9.333333333,0,site02
sub-NDARINV10T1UELH,10.16666667,1,site02
sub-NDARINV10TEADFM,10.83333333,1,site20
sub-NDARINV10ZLTFJZ,10.91666667,0,site05
sub-NDARINV112R12P1,10.75,1,site02
sub-NDARINV114VT9DX,10.75,0,site03
sub-NDARINV119ECA10,9.75,1,site09
sub-NDARINV11E1FCZ0,10.5,0,site21
sub-NDARINV11G4DZFX,10.75,0,site10
sub-NDARINV11HZFWRM,9.083333333,1,site01
sub-NDARINV11THDW9B,10.41666667,0,site17
sub-NDARINV11UF2ABG,10.41666667,1,site17
sub-NDARINV11ZVVFHK,10.75,1,site12
sub-NDARINV1285PMCK,10.16666667,0,site16
sub-NDARINV12CUM0KV,10.25,1,site01
sub-NDARINV12F1NWCG,10.25,1,site13
sub-NDARINV12NED96V,9.166666667,1,site02
sub-NDARINV12WR8W3U,10.91666667,0,site07
sub-NDARINV1306ZGW1,9.583333333,1,site11
sub-NDARINV1313F6FM,10.66666667,0,site10
sub-NDARINV13276WYW,10.08333333,0,site17
sub-NDARINV1378XGLA,9.166666667,0,site03
sub-NDARINV137Y0WR8,10.91666667,0,site03
sub-NDARINV138RG20T,9.5,1,site13
sub-NDARINV139EUMUU,10.08333333,0,site20
sub-NDARINV139PZ31D,10.91666667,0,site04
sub-NDARINV13AC41PB,9.333333333,0,site09
sub-NDARINV13CL7J3B,10.41666667,0,site10
sub-NDARINV13FP25D3,9.083333333,1,site18
sub-NDARINV13GH02YK,9.25,0,site04
sub-NDARINV13LFMTL6,10.33333333,0,site08
sub-NDARINV13MV0VA7,10.75,0,site16
sub-NDARINV13NMXD4V,10.41666667,1,site15
sub-NDARINV13PRF0TM,9.916666667,0,site15
sub-NDARINV1415W413,9.416666667,1,site04
sub-NDARINV145EPB4G,10.33333333,1,site21
sub-NDARINV14992W6G,9.25,1,site10
sub-NDARINV14AFR5D4,10.75,0,site19
sub-NDARINV14BPGL15,10.33333333,1,site12
sub-NDARINV14C1N3KZ,10.16666667,0,site16
